,raceId,year,circuitId,grandprix,circuitRef,circuits,location,country
0,1.0,2009.0,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
1,18.0,2008.0,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
2,36.0,2007.0,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
3,55.0,2006.0,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
4,71.0,2005.0,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
5,90.0,2004.0,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
6,108.0,2003.0,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
7,124.0,2002.0,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
8,141.0,2001.0,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
9,158.0,2000.0,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
10,175.0,1999.0,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
11,191.0,1998.0,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
12,207.0,1997.0,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
13,224.0,1996.0,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
14,338.0,2010.0,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
15,841.0,2011.0,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
16,860.0,2012.0,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
17,880.0,2013.0,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
18,900.0,2014.0,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
19,926.0,2015.0,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
20,948.0,2016.0,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
