,raceId,year,driverStandingsId,driverId,points,position,positionText,wins
19,12,2009,18034,1,27.0,7,7,1
23,32,2008,289,1,84.0,1,1,4
65,50,2007,13926,1,107.0,1,1,4
505,343,2010,63907,1,84.0,3,3,1
2212,851,2011,64608,1,146.0,3,3,2
2240,870,2012,65194,1,117.0,4,4,2
2274,887,2013,65717,1,89.0,4,4,0
2302,901,2014,66653,1,25.0,2,2,1
2306,945,2015,67527,1,381.0,1,1,10
2329,959,2016,67824,1,217.0,1,1,6
2352,979,2017,68370,1,188.0,2,2,4
2375,1004,2018,68990,1,306.0,1,1,8
2412,1011,2019,69210,1,43.0,2,2,1
2414,1063,2021,70531,1,202.5,1,1,4
